style_simple,full_name
Strong Ale,Pelican Pub & Brewery Stormwatcher's Winterfest
Strong Ale,Stoudts Brewing Co. Old Abominable
Hybrid Beer,Brouwerij Bosteels DeuS (Brut Des Flandres)
Hybrid Beer,Mikkeller ApS Nelson Sauvignon (Nelson Sauvin Brut)
Hybrid Beer,Brouwerij De Landtsheer NV Malheur Bière Brut (Brut Reserve)
Hybrid Beer,Brouwerij De Landtsheer NV Malheur Brut Noir (Black Chocolate)
Hybrid Beer,Cobra Beer Partnership Limited Krait Prestige
Hybrid Beer,Cervejaria Sudbrack Ltda Eisenbahn Lust
Hybrid Beer,Pivovarský D&#367;m amp - Pivní Sekt
Hybrid Beer,Cervejaria Sudbrack Ltda Eisenbahn Lust Prestige
Pale Ale,Goose Island Beer Co. Honker's Ale
Pale Ale,Fuller Smith & Turner PLC Fuller's London Pride
Pale Ale,Coniston Brewing Co. Ltd Bluebird Bitter
Pale Ale,Shepherd Neame Ltd Spitfire (Premium Ale Export)
Pale Ale,Rogue Ales Younger's Special Bitter
Pale Ale,City Steam Brewery Café City Steam Naughty Nurse Pale Ale
Pale Ale,Greene King / Morland Brewery Ruddles County
Pale Ale,Foster's Group Limited Foster's Special Bitter
Pale Ale,Victory Brewing Company Uncle Teddy's Bitter
Pale Ale,Sharp's Brewery Doom Bar Bitter
Pale Ale,Two Brothers Brewing Company Long Haul Session Ale
Pale Ale,Gritty McDuff's Brewing Company Gritty McDuff's Best Bitter
Pale Ale,Greene King / Morland Brewery Old Golden Hen
Pale Ale,Hop Back Brewery plc Hopback Summer Lightning
Pale Ale,Belhaven Brewery Company Ltd. Belhaven Best
Pale Ale,"Adnams plc, Sole Bay Brewery Adnams Southwold Bitter"
Pale Ale,D.L. Geary Brewing Company Geary's Winter Ale
Pale Ale,W.H. Brakspear & Sons plc Brakspear Bitter
Pale Ale,Wychwood Brewery Company Ltd Goliath
Pale Ale,Marshall Brewing Company McNellie's Pub Ale
Pale Ale,St. Peter's Brewery Co Ltd St. Peter's Ruby Red Ale
Pale Ale,Brouwerij De Molen Op & Top
Pale Ale,Carlsberg-Tetley Brewing Ltd Tetley's Smoothflow
Pale Ale,Wellington County Brewery Arkell Best Bitter
Pale Ale,Sly Fox Brewing Company Chester County Bitter
Pale Ale,Robert Cain & Company Limited Cain's Best Bitter
Pale Ale,Ridgeway Brewing Ridgeway Bitter
Pale Ale,Cricket Hill Brewing Co. Colonel Blides Cask Ale
Pale Ale,Hog's Back Brewery T.E.A. (Traditional English Ale)
Pale Ale,Coniston Brewing Co. Ltd XB Bluebird Bitter
Pale Ale,RCH Brewery Pitchfork Rebellious Bitter
Pale Ale,Dark Star Brewing Company Limited HopHead
Pale Ale,Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Old Brewery Bitter
Pale Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room Little Dog
Pale Ale,St. Peter's Brewery Co Ltd St. Peter's Best Bitter
Pale Ale,Castle Eden & Camerons Brewing Company Ltd Camerons Strongarm
Pale Ale,George Gale & Company Ltd HSB (Horndean Special Bitter)
Pale Ale,Strangford Lough Brewing Company Ltd St. Patrick's Best
Pale Ale,Hook Norton Brewery Co. Ltd. Hooky Bitter
Pale Ale,Minneapolis Town Hall Brewery West Bank Pub Ale
Pale Ale,"Adnams plc, Sole Bay Brewery Adnams Bitter"
Pale Ale,Fuller Smith & Turner PLC Fuller's ESB
Pale Ale,Wychwood Brewery Company Ltd Hobgoblin
Pale Ale,Left Hand Brewing Company Sawtooth Ale
Pale Ale,Southern Tier Brewing Company Harvest Ale
Pale Ale,Shipyard Brewing Co. Old Thumper ESA
Pale Ale,Greene King / Morland Brewery Abbot Ale
Pale Ale,AleSmith Brewing Company Anvil Ale ESB
Pale Ale,Stoudts Brewing Co. Stoudt's Scarlet Lady ESB
Pale Ale,Three Floyds Brewing Co. & Brewpub Lord Admiral Nelson
Pale Ale,Yards Brewing Co. Extra Special Ale (ESA)
Pale Ale,Foster's Group Limited Foster's Premium Ale
Pale Ale,Anderson Valley Brewing Company Boont ESB
Pale Ale,Green Man Brewery Green Man ESB
Pale Ale,SweetWater Brewing Company Sweetwater Motor Boat
Pale Ale,Ska Brewing Co. ESB Special Ale
Pale Ale,Short's Brewing Company Short's Autumn Ale
Pale Ale,Gritty McDuff's Brewing Company Gritty McDuff's Halloween Ale
Pale Ale,Shepherd Neame Ltd Bishops Finger
Pale Ale,French Broad Brewing Co. 13 Rebels ESB
Pale Ale,"Middle Ages Brewing Co., Ltd. Beast Bitter"
Pale Ale,Great Lakes Brewing Company Great Lakes Moondog ESB
Pale Ale,Rock Art Brewery Magnumus Ete Tomahawkus ESB³
Pale Ale,Elysian Brewing Company The Wise ESB
Pale Ale,Woodstock Inn Brewery Red Rack Ale
Pale Ale,Gritty McDuff's Brewing Company Gritty McDuff's Christmas Ale
Pale Ale,Deschutes Brewery Bachelor ESB
Pale Ale,Elevator Brewery & Draught Haus Elevator Bleeding Buckeye Red Ale
Pale Ale,Propeller Brewery Propeller Extra Special Bitter (ESB)
Pale Ale,Blue Mountain Brewery Steel Wheels ESB
